id,processed_content
19,bonu wheat flour north yemen usda commod credit corpor ccc accept export bonu offer cover sale 37 000 long ton wheat flour north yemen agricultur depart wheat shipment march bonu award 119 05 dlr tonn paid form commod ccc inventori bonu award pillsburi compani wheat flour purchas complet export enhanc program initi announc april 1986
22,magma lower copper 0 75 cent 66 ct magma copper a subsidiari newmont mine corp cut copper cathod price 0 75 cent 66 cent a lb effect immedi
23,brown forman lt bfdb set stock split up payout brown forman board approv a stock split a 35 pct increas compani cash dividend compani cite improv earn outlook continu strong cash flow reason rais dividend brown forman split class a class common share effect march 13 compani director declar a quarterli cash dividend share class 28 ct payabl april holder record march 20 prior split compani paid 31 ct quarterli brown forman today report a 37 pct increas quarter profit 21 6 mln dlr 1 00 dlr a share a pct increas sale a record 337 mln dlr brown forman month profit declin a bit 66 0 mln dlr 3 07 dlr a share 66 2 mln dlr 3 08 dlr a share a year earlier due a quarter charg 37 ct a share restructur beverag oper compani lower corpor tax rate restructur expect substanti improv brown forman earn cash flow fiscal 1988
24,esquir radio electron lt ee 4th qtr shr profit 15 ct profit ct annual div 72 ct 72 ct prior yr net profit 72 000 profit 16 000 rev 7 075 000 2 330 000 12 mth shr profit 42 ct loss 11 ct net profit 203 000 loss 55 000 rev 16 1 mln 3 971 000 note annual dividend payabl april 10 1987 stockhold record march 27 1987
27,unit presidenti corp lt upco 4th qtr net shr 39 ct 50 ct net 1 545 160 2 188 933 rev 25 2 mln 19 5 mln year shr 1 53 dlr 1 21 dlr net 6 635 318 5 050 044 rev 92 2 mln 77 4 mln note result includ adjust 848 600 dlr 20 ct shr 1986 year 1985 period improv result univers life busi estim
29,januari hous sale drop realti group sale previous own home drop 14 5 pct januari a season adjust annual rate 3 47 mln unit nation associ realtor nar decemb rate 4 06 mln unit highest record 4 15 mln unit sale rate set novemb 1978 group drop januari surpris a signific portion decemb record pace made seller seek favor capit gain treatment tax law nar john tuccillo
30,asset money market mutual fund rose 720 4 mln dlr latest week asset money market mutual fund rose 720 4 mln dlr latest week
36,owen minor lt obod rais qtli dividend qtli div eight ct 7 5 ct prior pay march 31 record march 13
37,comput languag research lt clri 4th qtr shr loss 22 ct loss 18 ct net loss 3 035 000 loss 2 516 000 rev 20 9 mln 19 6 mln qtli div ct ct prior year shr profit ct profit 34 ct net profit 215 000 profit 4 647 000 rev 93 4 mln 98 7 mln note dividend payabl april sharehold record march 17
38,lt cinram 4th qtr net shr 45 ct 58 ct net 1 1 mln 829 000 sale 7 9 mln 9 4 mln avg shr 2 332 397 1 428 000 year shr 1 22 dlr 1 06 dlr net 2 9 mln 1 5 mln sale 25 7 mln 22 2 mln avg shr 2 332 397 1 428 000
40,standard trustco see year standard trustco expect earn 1987 increas 15 20 pct 9 140 000 dlr 2 52 dlr share record 1986 stabl interest rate a grow economi expect provid favor condit growth 1987 presid brian malley told sharehold annual meet standard trustco previous report asset 1 28 billion dlr 1986 1 10 billion dlr 1985 return common sharehold equiti 18 6 pct year 15 pct 1985
41,handi harman lt hnh 4th qtr loss shr loss 51 ct loss ct net loss 7 041 000 loss 467 000 rev 138 9 mln 131 4 mln 12 month shr loss 64 ct profit 46 ct net loss 8 843 000 profit 6 306 0000 rev 558 9 mln 556 7 mln note net loss 4th qtr 1986 includ charg restructur 2 6 mln dlr tax 19 ct a share 1986 net loss includ tax special charg 2 7 mln dlr 20 ct a share
42,ico produc present coffe propos intern coffe organ ico produc countri present a propos reintroduc export quota 12 month april 1 a firm undertak negoti septemb 30 futur quota distribut a basi ico deleg distribut april 1 unchang basi earlier produc propos includ shortfal redistribut total 1 22 mln bag resumpt ico contact group meet consum schedul even postpon tomorrow deleg
44,mclean lt mii line set asset transfer mclean industri unit state line subsidiari agre principl transfer south american servic arrang transfer charter asset lt crowley mariotim corp american transport line subsidiari line negoti contract expect complet week term condit contract subject approv regulatori bodi includ bankruptci court
45,chemlawn lt chem rise hope higher bid chemlawn corp lt chem attract a higher bid 27 dlr share offer wast manag lt wnx wall street arbitrageur share chemlawn shot 11 5 8 29 3 8 counter trade 3 8 mln compani 10 1 mln share chang hand late afternoon compani 10 time cash flow 30 dlr 32 dollar depend a compet bidder arbitrageur wast manag tender offer announc open today expir march 25 total surpris debra strohmaier a chemlawn spokeswoman compani board held a regularli schedul meet today discuss wast manag announc a statement expect readi unabl prior contact wast manag chemlawn offici resist elliott schlang analyst prescott ball turben compani doesn a surpris attack arbitrageur point difficult resist tender offer share cash schlang chemlawn find a white knight acquir wast manag analyst rosemari morbelli ingal snyder servicemast compani lt svm rollin lt rol exampl compani interest chemlawn mln custom largest compani involv applic fertil pesticid herbicid lawn wast manag involv remov wast schlang chemlawn custom base valuabl compani capit a strong residenti commerci distribut system schlang morbelli note high growth rate catapult chemlawn share price mid 30 1983 stock languish rate growth slow schlang compani profit concentr fourth quarter 1986 chemlawn earn 1 19 dlr share full year 2 58 dlr fourth quarter morbelli note chemlawn compet thousand individu entrepreu offer lawn garden care sevic
46,sugar import week usda sugar import subject sugar import quota week end januari 9 initi week 1987 sugar quota year total 5 988 short ton versu 46 254 ton previou week agricultur depart sugar import quota 1987 quota year januari decemb set 1 001 430 short ton compar 1 850 000 ton 1986 quota year extend month decemb 31 depart custom servic report weekli cumul import report actual weight basi final polar receiv cumul import data adjust
47,brazil anti inflat plan limp anniversari inflat plan initi hail home abroad saviour economi limp anniversari amid soar price widespread shortag a foreign payment crisi announc februari 28 plan froze price fix cruzado currenc end widespread index economi a bid halt countri 250 pct inflat rate a year plan collaps situat wors inflat economi work a lead bank economist crumbl plan accompani a dramat revers foreign trade account 1984 1985 brazil annual trade surplus suffici cover 12 billion dlr need servic 109 billion dlr foreign debt month 1986 target a repeat monthli surplus averag billion dlr export divert import increas avoid domest shortag trade surplu plung 211 mln dlr octob averag 150 mln
48,offici foreign reserv fall januari zealand offici foreign reserv fell 7 15 billion dlr januari 7 20 billion dlr decemb compar 3 03 billion a year ago period reserv bank weekli statist bulletin
49,agenc report 39 ship wait panama canal panama canal commiss a govern agenc daili oper report a backlog 39 ship wait enter canal earli today day expect 2 26 2 27 due 27 35 schedul transit 35 41 end day backlog 31 25 averag wait time tomorrow super tanker regular vessel north end 13 hr 15 hr south end 4 hr 26 hr
50,america mortgag set special payout lt america feder guarante mortgag fund make a special distribut 71 6 ct exchang unit includ 67 62 ct return capit 3 98 ct incom gain
53,emhart corp lt emh qtli dividend qtli div 35 ct 35 ct prior payabl march 31 record march
56,intern lt cite strong prospect intern report oper loss januari 31 quarter prospect balanc fiscal year remain good order harri graphic subsidiari acquir june 1986 continu run a strong pace month order rose 35 pct prior year period annual basi run 630 mln dlr backlog harri 30 pct begin fiscal year intern divis expect benefit recent product introduct declin dollar research develop engin expenditur fiscal 1987 45 50 mln dlr rang compani alloc 30 40 mln dlr capit expenditur earlier report a fourth quarter oper loss ct a share compar profit ct a share a year ago revenu rose 291 8 mln dlr 151 1 mln dlr
57,ccc credit hondura switch white corn commod credit corpor ccc announc 1 5 mln dlr credit guarante previous earmark cover sale dri edibl bean hondura switch cover sale white corn agricultur depart depart action reduc coverag sale dri edibl bean 500 000 dlr creat line 1 5 mln dlr sale white corn sale credit guarante line regist ship septemb 30 1987
58,asset money fund rose week asset money market mutual fund increas 720 4 mln dlr week end yesterday 236 90 billion dlr invest compani institut asset 91 institut fund rose 356 mln dlr 66 19 billion dlr 198 gener purpos fund rose 212 5 mln dlr 62 94 billion dlr 92 broker dealer fund rose 151 9 mln dlr 107 77 billion dlr
59,gulf barg freight rate call gulf barg freight rate firm outlook steadi vessel load gulf increas demand barg suppli ship dealer barg trade today st loui merchant exchang call session versu 29 yesterday quot includ deliveri week illinoi river joliet 135 pct tariff bid 140 offer week river chicago quot 2 1 2 percentag point week mississippi river st loui 120 pct bid 127 1 2 offer point week ohio river owensboro south 125 pct bid 132 1 2 offer 7 1 2 point station illinoi river south chicago 135 pct bid 140 offer comparison march illinoi chicago 132 1 2 pct bid 140 offer 2 1 2 point march ohio river bid yesterday trade level 125 pct offer 132 1 2 march lower mississippi river memphi cairo 112 1 2 pct bid 120 offer comparison illinoi river chicago 100 pct bid 107 1 2 offer comparison sept nov lower mississippi river memphi cairo 137 1 2 pct bid 145 offer sept dec section 125 pct bid 135 offer comparison
64,gulf appli lt gat sell unit see gain gulf appli technolog sold pipelin termin oper unit 12 2 mln dlr record a gain 2 9 mln dlr quarter ad feder tax owe transact offset oper loss carryov
65,farmer group lt fgrp 4th qtr net shr 80 ct 72 ct net 55 513 000 48 741 000 rev 290 9 mln 264 2 mln year shr 3 09 dlr 2 72 dlr net 213 470 000 184 649 000 rev 1 12 billion 992 9 mln avg shr 69 127 000 68 004 000
66,potomac electr power lt pom jan net shr 27 ct 29 ct net 13 555 000 14 635 000 rev 104 606 000 110 311 000 avg shr 47 2 mln 47 1 mln 12 mth shr 4 10 dlr 3 66 dlr net 226 653 000 186 790 000 rev 1 4 billion 1 3 billion avg shr 47 1 mln 47 1 mln note latest 12 mth net includ gain 46 ct share sale virginia servic territori dominion resourc lt
68,lt cofab buy gulfex undisclos amount cofab acquir lt gulfex a houston base fabric custom high pressur process vessel energi petrochem industri cofab group compani manufactur special cool lubric system oil ga petrochem util pulp paper marin industri
69,weekli soybean crush 21 782 929 bushel report member nation soybean processor associ nspa crush 21 782 929 bushel soybean week end feb 25 compar 22 345 718 bushel previou week 16 568 000 year ago week associ total crush capac member 25 873 904 bushel 25 873 904 week 25 459 238 bushel year nspa soybean meal export week 117 866 tonn 121 168 tonn a week ago compar 84 250 tonn year ago week nspa figur includ nspa member firm
71,tultex corp lt ttx set quarterli dividend qtli div eight ct ct prior pay april record march 13
74,atico financi corp lt atfc 4th qtr net shr 30 ct 5 92 dlr net 1 142 000 16 0 mln rev 10 6 mln 24 2 mln year shr 90 ct 6 20 dlr net 3 320 000 16 9 mln rev 45 00 mln 26 2 mln note 1986 4th qtr yr amount includ acquisit 98 8 pct common atico peninsula feder save loan associ januari 24 1986 1985 4th qtr yr net includ net gain 15 9 mln dlr 5 86 dlr share exchang common pan america bank common ncnb corp purus a merger compani
75,ico export modifi propos intern coffe organ ico export modifi propos quota resumpt present import tomorrow ico deleg chang discuss tonight inform produc talk formal produc session member produc splinter group affect propos quota distribut 12 month april propos share includ shortfal declar
76,commerci paper fall 375 mln dlr feb 18 week fed commerci paper fall 375 mln dlr feb 18 week fed
77,busi loan fall 195 mln dlr feb 18 week fed busi loan fall 195 mln dlr feb 18 week fed
78,york bank discount window borrow 64 mln dlr feb 25 week york bank discount window borrow 64 mln dlr feb 25 week
80,york busi loan fall 195 mln dlr commerci industri loan book 10 major york bank exclud accept fell 195 mln dlr 65 06 billion week end februari 18 feder reserv bank york includ accept loan declin 114 mln dlr 65 89 billion commerci paper outstand nation drop 375 mln dlr 336 63 billion nation busi loan data schedul releas friday
81,bank discount borrow 64 mln dlr major york citi bank 64 mln dlr averag borrow feder reserv week wednesday februari 25 a fed spokesman week mark half week bank statement period end wednesday bank borrow prior week comment latest week a fed spokesman borrow occur yesterday fewer half bank nation data discount window borrow due releas 1630 est 2130 gmt
82,philippin long distanc lt phi year net shr primari 95 30 peso 29 71 peso shr dilut 61 11 peso 18 49 peso qtli div 1 25 peso 1 25 peso net 1 9 billion 779 mln rev 6 1 billion 4 7 billion note full philippin long distanc telephon figur quot philippin peso dividend payabl april 15 holder record march 13 exchang rate day dividend declar 20 792 peso dollar
83,liberti star equiti fund initi div qtli div ct a payabl april record march 20 note 1986 dividend includ special ct share period begin fund commenc oper novebm decemb 31 1986
85,combust engin lt csp regular div qtli div 25 ct 25 ct prior pay april 30 record april 16
86,tonka corp lt tka rais dividend qtli div ct 1 7 ct pay march 26 record march 12
87,bdm intern lt bdm increas qtrli div annual div class a 14 ct 12 ct prior annual div class 12 1 ct 10 4 ct prior payabl april record march 20 note full bdm intern
89,systemat lt syst regular payout qtli div ct ct prior pay march 13 record februari 27
92,1 money suppli rise 2 1 billion dlr feb 16 week fed 1 money suppli rise 2 1 billion dlr feb 16 week fed
93,lt ivaco year net shr 1 11 dlr 1 04 dlr net 44 092 000 35 145 000 rev 1 94 billion 1 34 billion note 1986 result includ extraordinari gain 1 035 000 dlr ct a share secondari share offer canron unit
94,bank discount borrow averag 310 mln dlr feb 25 week fed bank discount borrow averag 310 mln dlr feb 25 week fed
95,bank net free reserv 644 mln dlr week feb 25 fed bank net free reserv 644 mln dlr week feb 25 fed
96,invest firm cut cyclop lt cyl stake a group affili york invest firm lower stake cyclop corp 260 500 share 6 4 pct total outstand common stock 370 500 share 9 2 pct a file secur exchang commiss group led mutual share corp sold 110 000 cyclop common share feb 17 19 10 0 mln dlr
97,asc termin market valu pik grain agricultur stabil conserv servic asc establish unit valu commod offer govern stock redempt commod credit corpor commod certif effect busi day price bushel dollar sorghum price cwt corn yellow grade wheat hrw hr srw sww durum chicago 3 04 2 98 ill track 3 16 toledo 3 04 2 98 2 90 memphi 3 05 peoria 3 11 denver 2 62 2 63 evansvil 2 99 cincinnati 2 96 minneapoli 2 65 2 71 3 70 baltimor norf phil 3 06 2 98 kansa citi 2 87 3 17 st loui 3 03 3 03 amarillo lubbock 2 64 hrw hr srw sww durum lou gulf 3 16 portland seattl 3 07 3 08 3 10 3 70 stockton 2 78 a 3 23 4 05 duluth 2 65 2 71 3 70 tex gulf 3 10 3 16 corn brli oat rye soyb sorg chicago 1 47 4 81 2 49 ill track 1 49 2 04 4 85 2 52 toledo 1 41 2 04 1 50 4 78 2 39 memphi 1 59 1 95 1 71 4 90 2 86 peoria 1 51 4 80 2 60 denver 1 56 1 56 2 54 evnsvll 1 54 2 04 1 50 2 17 4 90 2 61 cinci 1 52 2 04 1 50 2 17 4 85 2 58 mpl 1 34 1 75 1 50 1 85 4 68 balt phil 1 70 1 80 4 98 3 12 kc 1 49 1 56 1 64 4 76 2 58 st lo 1 54 1 66 4 90 2 91 amarlo lubbck 1 84 1 40 4 75 2 92 lou gulf 1 73 5 05 3 12 port seattl 1 87 2 10 1 68 stockton 2 18 2 23 2 10 4 00 la 2 54 2 50 4 38 duluth 1 34 1 75 1 50 1 85 4 68 tex gulf 1 73 1 48 1 73 5 05 3 12
98,coradian corp lt cdin 4th qtr net shr profit ct loss ct net profit 363 000 loss 197 000 rev 3 761 000 2 666 000 year shr profit cent loss 37 ct net profit 129 000 loss 1 715 000 rev 11 4 mln 10 9 mln avg shr 10 694 081 4 673 253
99,26 feb 1987 26 feb 1987
100,trade bank deposit growth rise slightli zealand trade bank season adjust deposit growth rose 2 6 pct januari compar a rise 9 4 pct decemb reserv bank year year total deposit rose 30 6 pct compar a 26 3 pct increas decemb year 34 5 pct rise a year ago period weekli statist releas total deposit rose 17 18 billion dlr januari compar 16 74 billion decemb 13 16 billion januari 1986
101,26 feb 1987 26 feb 1987
102,26 feb 1987 26 feb 1987
103,26 feb 1987 26 feb 1987
104,world market price upland cotton usda agricultur depart announc prevail world market price adjust qualiti locat strict low middl 1 1 16 inch upland cotton 52 69 ct lb effect midnight march 5 adjust world price averag produc locat lubbock texa adjust qualiti locat price determin handler cotton certif payment rate base data week end februari 26 adjust world price upland cotton determin ct lb northern european price 66 32 adjust averag spot mkt locat 10 42 slm 1 1 16 inch cotton 1 80 averag locat 0 53 sum adjust 12 75 adjust world price 53 57
105,sugar quota import detail usda agricultur depart cumul sugar import individu countri 1987 quota year began januari 1 1987 end decemb 31 1987 quota alloc quota year short ton raw cumul quota 1987 import alloc argentina nil 39 130 australia nil 75 530 barbado nil 7 500 beliz nil 10 010 bolivia nil 7 500 brazil nil 131 950 canada nil 18 876 quota 1987 import alloc colombia 103 21 840 congo nil 7 599 costa rica nil 17 583 ivori coast nil 7 500 dom rep 5 848 160 160 ecuador nil 10 010 el salvador nil 26 019 8 fiji nil 25 190 gabon nil 7 500 quota 1987 import alloc guatemala nil 43 680 guyana nil 10 920 haiti nil 7 500 hondura nil 15 917 2 india nil 7 500 jamaica nil 10 010 madagascar nil 7 500 malawi nil 9 100 quota 1987 import alloc mauritiu nil 10 920 mexico 37 7 500 mozambiqu nil 11 830 panama nil 26 390 papua guinea nil 7 500 paraguay nil 7 500 peru nil 37 310 philippin nil 143 780 st christoph nevi nil 7 500 quota 1987 import alloc swaziland nil 14 560 taiwan nil 10 920 thailand nil 12 740 trinidad tobago nil 7 500 uruguay nil 7 500 zimbabw nil 10 920
106,grain ship load portland grain ship load ship wait load portland portland merchant exchang
108,meridian bancorp lt mrdn set regular payout qtli div 25 ct 25 ct prior pay april record march 15
109,bank discount borrow 310 mln dlr bank discount window borrow extend credit averag 310 mln dlr week wednesday februari 25 feder reserv fed borrow week fell 131 mln dlr 614 mln dlr extend credit 10 mln dlr 304 mln dlr week half a week statement period net borrow prior week averag 451 mln dlr comment week statement period end februari 25 fed bank averag net free reserv 644 mln dlr a day 1 34 billion week earlier a feder reserv spokesman told a press brief larg singl day net miss fed reserv project week wednesday natur float act a bit strang time year note poor weather latest week spokesman natur float rang 500 mln dlr friday give reason billion dlr thursday wednesday fed spokeman give reason thursday high float 750 mln dlr wednesday float figur due holdov transport float wide separ fed district week a float relat adjust small ad fell a neg 750 mln dlr tuesday due a number correct unrel cash letter error district countri spokesman tuesday wednesday clear bank system problem secur feder fund wire held open 2000 2100 est day problem clear afternoon evid reserv impact week end wednesday 45 pct net discount window borrow made smallest bank 30 pct 14 larg money center bank 25 pct larg region institut wednesday 55 pct borrow account money center bank 30 pct larg region 15 pct smallest bank fed spokesman bank system excess reserv thursday monday tuesday a deficit friday wedndsday produc a small daili averag deficit week a week period high excess reserv a daili avearg smallest bank
110,american express lt axp spinnoff american express remain silent market rumor spinoff part shearson lehman brother analyst compani a move unhappi market stock american express stock a lift rumor market calcul a partial public shearson command a good market boost total american express rumor accompani talk financi servic firm split stock boost dividend american express close york stock exchang 72 5 8 4 1 8 heavi volum american express comment rumor stock activ analyst comment compani analyst meet tuesday help fuel rumor announc yesterday manag meet compani offici american express stock undervalu fulli reflect perform shearson analyst yesterday shearson elev chief oper offic jefferi lane ad posit presid vacant creat posit chairmen oper divis analyst specul a partial spinoff make sens contrari variat market rumor a total spinoff analyst disagre spinoff shearson good a strong profit center american express contribut 20 pct earn year highli american express sell shearson perrin long lipper analyt question a invest a profit secur firm analyst american express cash reason sell a part a strong asset compani consid option spin part shearson rumor suggest sell 20 pct market larri eckenfeld prudenti bach secur believ american express consid a partial spinoff past shearson profit fetch a big premium market place shearson book 1 4 mln dlr rang shearson market place worth 3 5 bilion dlr term market capit eckenfeld analyst american express capit plan expand global enorm intern growth plan take capit stock reflect realist valuat enhanc abil make kind endeavor road hutton group analyst michael lewi ve outlin fact invest heavili futur heavili intern arena lewi preclud acquisit divestitur lewi american express reduc exposur brokerag busi sell part shearson stock reflect asset travel relat servic busi find true water mark a lesser exposur brokerag compon command a higher multipl constitut a higher percentag total oper earn compani lewi shearson contribut 316 mln tax oper earn 200 mln dlr 1985
111,1 money suppli rose 2 1 billion dlr 1 money suppli rose 2 1 billion dlr a season adjust 736 7 billion dlr februari 16 week feder reserv previou week 1 level revis 734 6 billion dlr 734 2 billion dlr week move averag 1 rose 735 0 billion dlr 733 5 billion economist poll reuter 1 billion dlr 2 3 billion dlr averag forecast call a 300 mln dlr 1 rise
113,liberti star lt usa set initi payout liberti star equiti fund declar initi dividend ct share payabl april sharehold record march 20 dividend includ a quarterli dividend ct a share a special payout ct a share cover period novemb 1986 fund began oper decemb 31 1986 fund quarterli dividend rate fluctuat futur
121,chines pork output lower usda high feed price chines reduc hog herd growth pork product year agricultur depart world product trade report depart hog number start 1987 estim 331 6 mln head slightli 1986 10 mln head earlier project 1987 pork product 1986 4 2 pct 17 25 mln tonn slightli earlier estim 1987 product project fall 17 05 mln tonn feed price end januari report 35 40 pct year ago level depart
123,ivaco see minim quarter earn ivaco price pressur steel product recent increas canadian dollar expect result minim quarter earn subsequ quarter show substanti improv quarter level 1987 earn reach 1986 level long condit continu ivaco earlier report 1986 profit rose 44 1 mln dlr a mln dlr extraordinari gain 35 1 mln dlr previou year demand compani product continu high level sale expect show growth revenu year rose 1 94 billion dlr 1 34 billion dlr 1985
124,grain carload fall week grain carload total 26 108 car week end februari 21 2 2 pct previou week 22 8 pct week a year ago associ american railroad report grain mill product load week total 11 382 car 1 8 pct previou week 7 6 pct week a year earlier associ
125,hong kong firm up wrather lt wco stake 11 pct industri equiti pacif a hong kong invest firm rais stake wrather corp 816 000 share 11 3 pct total outstand common stock 453 300 share 6 3 pct a file secur exchang commiss industri equiti princip own brierley invest a publicli held zealand compani bought 362 700 wrather common share feb 13 24 6 6 mln dlr disclos stake wrather earlier month bought stock invest purpos
126,coleco industri lt clo 4th qtr shr loss 6 48 dl profit 23 ct net loss 110 6 mln profit 4 1 mln rev 74 0 mln 152 0 mln year shr loss 6 52 dlr profit 3 87 dlr net loss 111 2 mln profit 64 2 mln rev 501 0 mln 776 0 mln
127,diamond shamrock dia cut crude price diamond shamrock corp effect today cut contract price crude oil 1 50 dlr a barrel reduct bring post price west texa intermedi 16 00 dlr a barrel copani price reduct today made light fall oil product price a weak crude oil market a compani spokeswoman diamond latest a line oil compani cut contract post price day cite weak oil market
128,liebert corp lt lieb approv merger liebert corp sharehold approv merger a wholli own subsidiari emerson electr lt emr term merger liebert sharehold receiv 3322 share emerson stock liebert share
129,northern telecom propos stock split northern telecom propos stock split
130,coleco industri lt clc see profit 1987 coleco industri expect return profit 1987 earlier coleco report a net loss 111 2 mln dlr year end decemb 31 compar a profit 64 2 mln dlr year earlier a prepar statement compani dramat swing oper result due primarili steep declin sale cabbag patch kid product 600 mln dlr 230 mln dlr coleco chang a singl product compani a diversifi organ major acquisit year product acquisit product introduct expect enabl return profit annual toy fair earlier month vice presid morton handel analyst 1987 project earn 90 ct a share sale 600 mln dlr reason
132,26 feb 1987 26 feb 1987
133,26 feb 1987 26 feb 1987
134,gulf appli technolog lt gat sell unit gulf appli technolog sold subsidiari engag pipelin termin oper 12 2 mln dlr compani sale subject post close adjust explain
